content,Label
"Aplikasi yang sangat bagus, sangat membantu dalam investasi saya",Positif
sangat mudah untuk withdraw..malam2 wd langsung masuk rekening,Positif
"Aplikasi yang bagus dan mudah untuk investasi dan trading crypto..deposit cepet, WD jga cepet...mantulll",Positif
"Aplikasi triv sangat mudah digunakan, simpel, verifikasinya juga cepat, feenya murah, spreadnya lbh kecil dan transaksinya lancar jaya. Tingkatkan trus kualitas dan pelayanannya",Positif
"fee triv paling murah, aplikasinya juga sangat mudah digunakan",Positif
"Katanya btc bisa di jual minimal hrga nya 50ribu,eh pas d jual kaga bisa,ane punya 0.00009300 btc kan harga nya 79rb...yah ga guna omdo doank,,,bagusan indodax minimal bisa d jual 0.00001000 btc.",Negatif
Menu tampilan triv yg sangat mudah dimengerti meski buat PEMULA.,Positif
Transaksi selalu paling cepat dan oke. dan pencairan wd juga cuma hitungan menit udh mendarat direkening,Positif
"Pelayanan adminnya sangat baik, balas email juga cepat dan juga membantu saat ada problem",Positif
"Overall udh bagus, pencairan juga sangat cepat",Positif
"Suka sekali dengan aplikasi triv, udh lama langganan disini, klo ada kendala langsung email dan respon cs nya sangat cepat",Positif
"Bagus, simple & mudah digunakan.. biaya transaksi lebih murah",Positif
Jujur triv emang aplikasi paling bagus dan feenya paling murah dibanding aplikasi lain. semoga sukses selalu,Positif
Pencairan wd ga sampe 5 menit udah cair...Mantapp...cepat,Positif
"sangat bagus aplikasinya, feenya juga murah",Positif
"Bagus dan suka mudah untuk di pahami,cara mendaftar juga mudah,syo gaes untuk kian yg belum donwlod buruan,donwlod dan daftar sekarang",Positif
aplikasi gk ribet mudah banget di phamai. jual beli koin crypto nya juga mudah sangat menguntung kan .the best lah triv ...,Positif
"Joss banget, baru tahu tentang triv. Aplikasi ini rekomendasi banget. Bagis untuk investigasi.",Positif
"Triv semakin digunakan semakin bermanfaat, beberapa kali wintdraw tanpa terkendala, klo belum mencoba maka boleh di coba suapaya yakin ada manfaatnya, aplikasinya juga lancar jaya gak setiap saat maintenence seperti yang ada saat ini, triv memang bagus banget.",Positif
"Aplikasi terbaik diantara aplikasi serupa, sangat mudah d gunakan dan lancar tidak sering maintance, cs cepat tanggap, selalu setia menggunakan aplikasi Triv, sukses selalu Triv 👍🏻",Positif
Untuk pemula sangat membantu tidak ribet dan tidak mengecewakan coba aplikasi ini pasti tidak mengecewakan mantap deh.,Positif
"Rekomend nih untuk yg mau trading crypto, friendly user juga lohhh, buruan coba, saya sudah coba!!!!",Positif
"Aplikasinya kerenn bangett! Cara ngegunainnya gampang bangett, kita juga bisa beli pulsa tanpa batas waktu dan yang pasti tanpa lelet,,dan banyak bangett ke gunaan nya hayuu buruan dowload triv!!!",Positif
Aplikasinya sangat membantu aku bagi yg pemula dalam dunia crypto dan ini sangat mudah banget pokoknya install sekarang dan mulai rasain gimana mudahnya aplikasi ini,Positif
"Aplikasi yg cocok buat pemula nih 😁 Jadi lebih gampang belajar nya, langsung praktek juga 😍",Positif
"Menurut saya bagus, dan mudah no ribet² club, masukan aja nih tambahin dogecoin dll, semua udh bagus mnrt saya bisa tukar ke pulsa, bisa tukar ke paket internet bagus deh sangat mudah",Positif
"Applikasi banyak biaya fee nya....RUGIII Beli aset kena fee, jual aset kena fee, wd kena fee....🙄🙄",Negatif
"Aplikaai TRIV sangat membantu, proses transaksi juga cepat. Respon Admin TRIV juga sangat cepat & membantu kendala saya. Maaf sempat memberi rating buruk, terimakasih TRIV.",Positif
Fee terlalu besar,Negatif
